Ip VpVs type
5380.91035 2.45010 shale
5376.78660 2.44106 shale
5387.72309 2.46131 shale
5404.29744 2.50455 shale
5423.06432 2.52649 shale
5444.30564 2.55353 shale
5458.23111 2.58529 shale
5486.24512 2.61300 shale
5518.34059 2.60918 shale
5552.97212 2.57268 shale
5578.07120 2.54124 shale
5585.04547 2.51804 shale
5574.23404 2.51483 shale
5555.16325 2.51736 shale
5547.93296 2.51512 shale
5559.53551 2.51199 shale
5573.73827 2.49627 shale
5579.22153 2.49315 shale
5588.82068 2.49802 shale
5596.55097 2.51103 shale
5592.43433 2.52478 shale
5558.03526 2.53225 shale
5502.42169 2.55509 shale
5400.47998 2.58075 shale
5248.74669 2.59548 shale
5140.41286 2.56970 shale
5138.37650 2.54468 shale
5183.30470 2.56254 shale
5184.90260 2.62305 shale
5155.97239 2.64775 shale
5159.80807 2.65009 shale
5220.14485 2.65999 shale
5345.03660 2.69341 shale
5471.55867 2.70551 shale
5542.93104 2.68583 shale
5534.38917 2.64112 shale
5479.36483 2.63088 shale
5406.19289 2.61739 shale
5353.66641 2.60641 shale
5344.84661 2.59663 shale
5399.28668 2.60136 shale
5452.40693 2.61114 shale
5451.57696 2.61975 shale
5354.07481 2.66875 shale
5319.17704 2.69425 shale
5234.03282 2.71992 shale
5179.45017 2.68520 shale
5226.31323 2.65589 shale
5285.36021 2.65074 shale
5281.83665 2.68716 shale
5240.19406 2.75945 shale
5205.75971 2.74611 shale
5208.69539 2.72909 shale
5251.20637 2.70152 shale
5316.97328 2.71237 shale
5343.24974 2.71942 shale
5308.60720 2.72517 shale
5270.17656 2.73864 shale
5279.12278 2.75534 shale
5320.33003 2.76886 shale
5282.06051 2.76024 shale
5261.77749 2.76073 shale
5279.68638 2.76398 shale
5321.06459 2.76455 shale
5340.67291 2.76867 shale
5338.26089 2.68226 shale
5344.33317 2.65344 shale
5365.99689 2.62073 shale
5423.36935 2.71382 shale
5419.05666 2.73878 shale
5419.20377 2.74762 shale
5419.81372 2.74101 shale
5395.92432 2.73614 shale
5377.15877 2.71664 shale
5376.30788 2.68007 shale
5409.18843 2.64514 shale
5430.83493 2.62987 shale
5439.26131 2.61891 shale
5453.40441 2.63588 shale
5467.06231 2.65377 shale
5356.54072 2.67434 shale
5364.79172 2.65904 shale
5396.11824 2.66877 shale
5359.02182 2.65476 shale
5350.91326 2.68510 shale
5347.57746 2.71949 shale
5380.17746 2.73670 shale
5210.85077 2.64527 shale
5204.55952 2.64532 shale
5251.66194 2.68872 shale
5318.75894 2.72872 shale
5375.98660 2.76823 shale
5413.25368 2.81020 shale
5409.39402 2.80750 shale
5324.90984 2.64126 shale
5361.69618 2.64684 shale
5491.71738 2.69509 shale
5537.75361 2.69142 shale
5581.41050 2.67231 shale
5595.18361 2.66265 shale
5579.58962 2.66599 shale
5565.93212 2.67196 shale
5540.57560 2.67842 shale
5487.97358 2.67054 shale
5461.11528 2.66162 shale
5394.24884 2.62839 shale
5391.48697 2.64141 shale
5384.30610 2.64570 shale
5405.54969 2.65723 shale
5403.44809 2.66229 shale
5374.47548 2.65985 shale
5357.81713 2.67864 shale
5400.57276 2.69660 shale
5452.10115 2.74140 shale
5391.50099 2.71288 shale
5218.15833 2.65876 shale
5002.71357 2.60816 shale
4895.30906 2.57353 shale
4933.20574 2.56483 shale
5008.38727 2.60837 shale
5057.14918 2.69718 shale
5068.98863 2.73228 shale
5106.61353 2.73696 shale
5170.49904 2.75147 shale
5278.87719 2.75506 shale
5393.06466 2.78272 shale
5460.05820 2.82394 shale
5445.37231 2.83995 shale
5415.83237 2.83524 shale
5402.14364 2.81115 shale
5392.25818 2.78228 shale
5373.63888 2.76308 shale
5356.80791 2.75166 shale
5363.67569 2.74858 shale
5410.15968 2.74809 shale
5485.84501 2.74831 shale
5536.17101 2.77647 shale
5477.12736 2.85048 shale
5449.33592 2.84683 shale
5444.44532 2.81877 shale
5440.96386 2.76387 shale
5382.19401 2.72869 shale
5228.17941 2.72251 shale
5077.18858 2.72591 shale
5068.41798 2.75638 shale
5161.77933 2.75609 shale
5247.87429 2.71938 shale
5295.43092 2.72956 shale
5291.47470 2.75043 shale
5271.70173 2.74207 shale
5282.29578 2.72082 shale
5314.05772 2.71569 shale
5353.03151 2.78629 shale
5339.42266 2.73310 shale
5403.96866 2.69771 shale
5521.05698 2.69173 shale
5589.69385 2.72027 shale
5560.70136 2.71302 shale
5499.82815 2.71973 shale
5463.93741 2.71337 shale
5465.84029 2.70232 shale
5485.10184 2.68356 shale
5514.81589 2.66591 shale
5557.18712 2.66365 shale
5578.01377 2.69482 shale
